period,iso_year,iso_week,sku_id,forecast_units,model_name,low_confidence,note
2025-W29,2025,29,SKU-001,217.49072916481188,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-001,209.63932864873087,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-001,220.2925303458316,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-001,208.9200922331775,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-001,221.11114084295068,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-001,210.1019652309617,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-001,217.06096883166254,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-001,209.54200424109476,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-002,234.51702530738285,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-002,236.1766546555682,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-002,232.8779970311779,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-002,233.0734637955862,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-002,235.68430397188882,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-002,235.19059081713732,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-002,198.7344994619761,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-002,207.09006972003613,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-003,226.9564794007944,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-003,212.66403309396335,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-003,216.74919868046476,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-003,209.75186303551715,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-003,202.01639371969256,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-003,211.22020122827115,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-003,198.97118371826025,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-003,211.7312286849208,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-004,254.62131463794813,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-004,239.49452986160526,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-004,259.18920893565445,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-004,256.2889007722895,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-004,254.73642196847013,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-004,238.49561038085704,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-004,238.34491079401892,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-004,220.73973847466618,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-005,223.19787808314862,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-005,233.18429641740718,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-005,209.24443058123072,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-005,237.65512527540025,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-005,233.7011653512367,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-005,226.73262152631838,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-005,226.9150959918749,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-005,224.00963755964992,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-006,227.76567322408388,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-006,231.86823242807662,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-006,233.3629473980315,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-006,219.89937768406278,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-006,220.44546912395705,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-006,218.69411013784955,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-006,206.67453491040732,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-006,204.17469157323893,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-007,105.4194918101553,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-007,107.5211953841138,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-007,112.7148736740247,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-007,123.31985157739904,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-007,136.91315808022438,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-007,128.05243637563706,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-007,137.34919481281491,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-007,137.48640599773174,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-008,101.81578463048363,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-008,103.07580907518575,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-008,117.78290604882206,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-008,117.99625572762528,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-008,114.17072941194898,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-008,115.84089405617755,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-008,116.82879920677048,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-008,121.2446161766152,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-009,110.73210907423972,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-009,113.73371683985582,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-009,115.84879949900603,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-009,117.52261733862854,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-009,113.33465797844119,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-009,116.51293111178198,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-009,114.30561799522283,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-009,118.47056258329029,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-010,95.52222704301644,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-010,90.93778781225474,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-010,104.91126601219072,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-010,121.17134116867958,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-010,113.48758626192767,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-010,108.90224874266688,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-010,111.14588379044041,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-010,105.12052005613731,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-011,98.75417331414423,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-011,84.8250762849064,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-011,101.77999550700693,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-011,101.21029124369042,hist_gradient_boosting,False,
2025-W33,2025,33,SKU-011,99.311188187556,hist_gradient_boosting,False,
2025-W34,2025,34,SKU-011,102.96892030134613,hist_gradient_boosting,False,
2025-W35,2025,35,SKU-011,104.17533497119523,hist_gradient_boosting,False,
2025-W36,2025,36,SKU-011,104.17533497119523,hist_gradient_boosting,False,
2025-W29,2025,29,SKU-012,109.96591276039207,hist_gradient_boosting,False,
2025-W30,2025,30,SKU-012,101.38613124298972,hist_gradient_boosting,False,
2025-W31,2025,31,SKU-012,110.07845345296907,hist_gradient_boosting,False,
2025-W32,2025,32,SKU-012,111.31983692928935,hist_gradient_boosting,False,
